出願番号,出願日,発明の名称,要約,請求の範囲,出願人,発明者,IPC,ステータス
特願2015-100844,2015/12/21,バイポーラ型全固体電池及びその製造方法,本発明は、バイポーラ型全固体電池に関する。従来技術では端子部の接触抵抗が大きいという課題があった。本発明では、冷却流路をモジュール内に一体成形することにより、部品点数を削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、冷却流路をモジュール内に一体成形することを特徴とする全固体電池。,燕岳鉱業,斎藤 美咲;林 拓也;山口 香織,H01M10/613;H01M50/509,登録
特願2015-100795,2015/04/26,バイポーラ型全固体電池を用いた全固体電池,本発明は、バイポーラ型全固体電池に関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、温度分布を均一化し寿命を延ばす。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,北斗モータース,高橋 大輔;吉田 裕子,H01M10/613;H01M50/509,登録
特願2022-100550,2022/06/02,無負極型集電体構造及びその製造方法,本発明は、無負極型集電体構造に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、集電体表面に親リチウム性シード層を設けることにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、集電体表面に親リチウム性シード層を設けることを特徴とする全固体電池。,常盤田精機,鈴木 修平,H01M4/134,審査中
特願2019-100098,2019/07/01,Li2S-P2S5系ガラスセラミックス及びその製造方法,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術では電極との界面抵抗が増大するという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,白鳳電機産業,高橋 太郎;林 大輔,H01M10/0562,公開
特願2017-100360,2017/02/15,架橋ゲルポリマー電解質を用いた全固体電池,本発明は、架橋ゲルポリマー電解質に関する。従来技術では電位窓が狭く高電圧正極に適用できないという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、薄膜大面積化を容易にする。これにより全固体リチウムイオン二次電池の実用化に寄与する。,架橋ゲルポリマー電解質を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,蒼海自動車,山田 修平;林 太郎,C08J5/22,取下
特願2016-100320,2016/07/05,有機無機ハイブリッド電解質膜及びその製造方法,本発明は、有機無機ハイブリッド電解質膜に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、ブロック共重合体で相分離構造を制御することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,有機無機ハイブリッド電解質膜を備え、ブロック共重合体で相分離構造を制御することを特徴とする全固体電池。,常盤田精機,中村 真一;山田 直樹;加藤 直樹,C08J5/22,拒絶
特願2023-100743,2023/10/18,電極シート成形装置及びその製造方法,本発明は、電極シート成形装置に関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電極シート成形装置を備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,若草セラミックス,田中 彩,B32B37/00;H01M10/0585,登録
特願2015-100156,2015/07/21,硫化物系固体電解質を用いた全固体電池,本発明は、硫化物系固体電解質に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,北斗モータース,井上 花子;伊藤 大輔;田中 修平,C01B17/22,登録
特願2020-100704,2020/02/12,加圧焼結積層工程及びその製造方法,本発明は、加圧焼結積層工程に関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,加圧焼結積層工程を備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,汐留マテリアル,小林 恵,H01M4/04,登録
特願2015-100788,2015/07/27,拘束圧付与機構及びその製造方法,本発明は、拘束圧付与機構に関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、冷却流路をモジュール内に一体成形することにより、部品点数を削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,拘束圧付与機構を備え、冷却流路をモジュール内に一体成形することを特徴とする全固体電池。,白鳳電機産業,森 健一;伊藤 真一,H01M50/20;H01M50/509,登録
特願2021-100941,2021/10/23,Li2S-P2S5系ガラスセラミックス及びその製造方法,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,みなと化学工業,田中 裕子;山田 美咲,C01B17/22,登録
特願2017-100361,2017/07/27,ポリエチレンオキシド系ポリマー電解質及びその製造方法,本発明は、ポリエチレンオキシド系ポリマー電解質に関する。従来技術では電位窓が狭く高電圧正極に適用できないという課題があった。本発明では、紫外線架橋により三次元網目構造を形成することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ポリエチレンオキシド系ポリマー電解質を備え、紫外線架橋により三次元網目構造を形成することを特徴とする全固体電池。,九曜電子,田中 修平,H01M10/0565,登録
特願2017-100172,2017/10/04,硫化物系固体電解質及びその製造方法,本発明は、硫化物系固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,九曜電子,加藤 健一;森 直樹,C01B17/22;H01M10/0562,登録
特願2019-100074,2019/06/11,硫化物系固体電解質及びその製造方法,本発明は、硫化物系固体電解質に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,白鳳電機産業,中村 裕子;高橋 望,H01B1/06;H01M10/0562,登録
特願2018-100023,2018/06/28,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,蒼海自動車,佐藤 望;鈴木 美咲;渡辺 修平,H01B1/06;H01M10/0562,拒絶
特願2018-100449,2018/04/21,複合正極合材及びその製造方法,本発明は、複合正極合材に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,複合正極合材を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,常盤田精機,林 拓也;山口 健一,H01M10/0562,登録
特願2021-100295,2021/03/03,ペロブスカイト型酸化物電解質及びその製造方法,本発明は、ペロブスカイト型酸化物電解質に関する。従来技術では粒界抵抗がイオン伝導を阻害するという課題があった。本発明では、粒界に非晶質層を導入することにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ペロブスカイト型酸化物電解質を備え、粒界に非晶質層を導入することを特徴とする全固体電池。,蒼海自動車,井上 大輔;清水 真一;清水 大輔,C04B35/486;H01M10/0562,登録
特願2025-100620,2025/05/01,リチウム金属負極及びその製造方法,本発明は、リチウム金属負極に関する。従来技術ではリチウムの不均一析出で容量が劣化するという課題があった。本発明では、固体電解質との界面に緩衝層を挿入することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム金属負極を備え、固体電解質との界面に緩衝層を挿入することを特徴とする全固体電池。,汐留マテリアル,森 浩二;加藤 修平;小林 香織,H01M10/052;H01M4/38,審査中
特願2024-100510,2024/12/17,NCM系正極と固体電解質の複合体を用いた全固体電池,本発明は、NCM系正極と固体電解質の複合体に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、スラリー混練条件を制御し均一分散させることにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NCM系正極と固体電解質の複合体を備え、スラリー混練条件を制御し均一分散させることを特徴とする全固体電池。,燕岳鉱業,林 香織;渡辺 望,H01M10/0562;H01M4/62,公開
特願2015-100322,2015/05/13,ポリエチレンオキシド系ポリマー電解質及びその製造方法,本発明は、ポリエチレンオキシド系ポリマー電解質に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、紫外線架橋により三次元網目構造を形成することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ポリエチレンオキシド系ポリマー電解質を備え、紫外線架橋により三次元網目構造を形成することを特徴とする全固体電池。,蓬莱新能源,小林 大輔;中村 彩,C08J5/22;H01B1/12,登録
特願2022-100541,2022/11/20,リチウム金属負極及びその製造方法,本発明は、リチウム金属負極に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム金属負極を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,蒼海自動車,松本 望;鈴木 恵,H01M10/052;H01M4/38,公開
特願2022-100910,2022/06/25,乾式電極成形プロセス及びその製造方法,本発明は、乾式電極成形プロセスに関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、等方加圧により積層界面を密着させることにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、等方加圧により積層界面を密着させることを特徴とする全固体電池。,汐留マテリアル,木村 彩;高橋 美咲;森 美咲,B32B37/00,審査中
特願2020-100443,2020/10/21,正極-電解質界面被覆層及びその製造方法,本発明は、正極-電解質界面被覆層に関する。従来技術では正極活物質と硫化物電解質の界面で高抵抗層が形成されるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,正極-電解質界面被覆層を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,みなと化学工業,清水 望;山口 誠,H01M10/0562;H01M4/525,取下
特願2022-100754,2022/08/15,電極シート成形装置及びその製造方法,本発明は、電極シート成形装置に関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、等方加圧により積層界面を密着させることにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電極シート成形装置を備え、等方加圧により積層界面を密着させることを特徴とする全固体電池。,北斗モータース,斎藤 由美;松本 裕子;斎藤 望,H01M10/0585,審査中
特願2016-100173,2016/09/21,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,常盤田精機,清水 静香;清水 望,H01B1/06,登録
特願2018-100832,2018/08/26,バイポーラ型全固体電池及びその製造方法,本発明は、バイポーラ型全固体電池に関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、バイポーラ集電体で直列接続を内蔵化することにより、体積エネルギー密度を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、バイポーラ集電体で直列接続を内蔵化することを特徴とする全固体電池。,ソルグリーンエナジー,清水 大輔,H01M50/509,拒絶
特願2022-100675,2022/04/28,乾式電極成形プロセスを用いた全固体電池,本発明は、乾式電極成形プロセスに関する。従来技術では溶媒系プロセスが電解質を劣化させるという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,九曜電子,佐藤 隆;清水 隆,B32B37/00;H01M4/04,公開
特願2020-100269,2020/12/15,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、粒界に非晶質層を導入することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、粒界に非晶質層を導入することを特徴とする全固体電池。,九曜電子,清水 修平;清水 望;中村 香織,H01M10/0562,拒絶
特願2020-100171,2020/05/15,Li6PS5Cl固体電解質を用いた全固体電池,本発明は、Li6PS5Cl固体電解質に関する。従来技術では電極との界面抵抗が増大するという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,みなと化学工業,渡辺 大輔;清水 花子,H01M10/0562,公開
特願2018-100013,2018/04/12,硫化物系固体電解質及びその製造方法,本発明は、硫化物系固体電解質に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,みなと化学工業,鈴木 彩,H01B1/06;H01M10/0562,登録
特願2023-100181,2023/11/02,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、テープ成形により薄膜シート化することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、テープ成形により薄膜シート化することを特徴とする全固体電池。,常盤田精機,山本 彩,C04B35/486;H01M10/0562,公開
特願2018-100706,2018/10/20,電極シート成形装置及びその製造方法,本発明は、電極シート成形装置に関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、等方加圧により積層界面を密着させることにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電極シート成形装置を備え、等方加圧により積層界面を密着させることを特徴とする全固体電池。,北斗モータース,鈴木 拓也,B32B37/00;H01M4/04,登録
特願2019-100052,2019/01/17,硫化物系固体電解質及びその製造方法,本発明は、硫化物系固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,蒼海自動車,林 健一,C01B17/22;H01M10/0562,登録
特願2019-100585,2019/05/07,リチウム合金負極を用いた全固体電池,本発明は、リチウム合金負極に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、エネルギー密度を大幅に向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,九曜電子,森 香織;清水 浩二,H01M4/38,登録
特願2021-100207,2021/03/26,酸化物系固体電解質焼結体を用いた全固体電池,本発明は、酸化物系固体電解質焼結体に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、焼結助剤を添加して低温焼結を可能にすることにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、焼結助剤を添加して低温焼結を可能にすることを特徴とする全固体電池。,北斗モータース,木村 浩二;林 静香,C04B35/486,拒絶
特願2023-100151,2023/12/22,Li2S-P2S5系ガラスセラミックス及びその製造方法,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,北斗モータース,林 太郎;清水 浩二,C01B17/22;H01B1/06,公開
特願2018-100802,2018/11/22,積層セルパッケージ及びその製造方法,本発明は、積層セルパッケージに関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、冷却流路をモジュール内に一体成形することにより、温度分布を均一化し寿命を延ばす。これにより全固体リチウムイオン二次電池の実用化に寄与する。,積層セルパッケージを備え、冷却流路をモジュール内に一体成形することを特徴とする全固体電池。,若草セラミックス,山本 恵,H01M10/613;H01M50/509,登録
特願2018-100416,2018/05/06,NCM系正極と固体電解質の複合体及びその製造方法,本発明は、NCM系正極と固体電解質の複合体に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NCM系正極と固体電解質の複合体を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,蒼海自動車,加藤 望;清水 健一;加藤 修平,H01M4/62,取下
特願2021-100655,2021/06/26,電極シート成形装置及びその製造方法,本発明は、電極シート成形装置に関する。従来技術では溶媒系プロセスが電解質を劣化させるという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電極シート成形装置を備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,東都工業大学,井上 隆;加藤 由美,B32B37/00;H01M4/04,登録
特願2021-100191,2021/11/20,酸化物系固体電解質焼結体及びその製造方法,本発明は、酸化物系固体電解質焼結体に関する。従来技術ではリチウムデンドライトが粒界を伝播するという課題があった。本発明では、テープ成形により薄膜シート化することにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、テープ成形により薄膜シート化することを特徴とする全固体電池。,暁化成,渡辺 大輔;中村 直樹;渡辺 花子,C04B35/486,公開
特願2023-100942,2023/03/19,ニオブ酸リチウム被覆正極活物質を用いた全固体電池,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、スラリー混練条件を制御し均一分散させることにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、スラリー混練条件を制御し均一分散させることを特徴とする全固体電池。,常盤田精機,木村 静香,H01M10/0562;H01M4/525,公開
特願2024-100414,2024/01/10,ニオブ酸リチウム被覆正極活物質を用いた全固体電池,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,九曜電子,高橋 直樹;斎藤 誠;山田 誠,H01M4/525;H01M4/62,公開
特願2021-100053,2021/12/16,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,北斗モータース,松本 直樹,C01B17/22;H01M10/0562,登録
特願2019-100481,2019/06/10,ニオブ酸リチウム被覆正極活物質及びその製造方法,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,燕岳鉱業,清水 誠;井上 静香;吉田 太郎,H01M10/0562;H01M4/62,登録
特願2017-100037,2017/08/18,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,暁化成,山本 香織;鈴木 直樹,C01B17/22;H01B1/06,登録
特願2021-100072,2021/10/16,硫化物系固体電解質を用いた全固体電池,本発明は、硫化物系固体電解質に関する。従来技術では電極との界面抵抗が増大するという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,みなと化学工業,松本 由美,H01B1/06;H01M10/0562,登録
特願2020-100006,2020/08/02,Li6PS5Cl固体電解質を用いた全固体電池,本発明は、Li6PS5Cl固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,蓬莱新能源,伊藤 花子;松本 由美;松本 花子,C01B17/22,登録
特願2021-100435,2021/05/01,正極-電解質界面被覆層を用いた全固体電池,本発明は、正極-電解質界面被覆層に関する。従来技術では正極活物質と硫化物電解質の界面で高抵抗層が形成されるという課題があった。本発明では、スラリー混練条件を制御し均一分散させることにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,正極-電解質界面被覆層を備え、スラリー混練条件を制御し均一分散させることを特徴とする全固体電池。,常盤田精機,木村 誠;小林 彩,H01M4/525,登録
